"region_id","common","class","sciname","category","status","year"
1,"bluestripe pipefish","actinopterygii","doryrhamphus excisus","LC",1,2020
1,"flat-nosed pipefish","actinopterygii","microphis argulus","LC",1,2020
1,"sculptured pipefish","actinopterygii","choeroichthys sculptus","LC",1,2020
1,"network pipefish","actinopterygii","corythoichthys flavofasciatus","LC",1,2020
1,"black-breasted pipefish","actinopterygii","corythoichthys nigripectus","LC",1,2020
1,"lord howe pipefish","actinopterygii","cosmocampus howensis","LC",1,2020
1,"chinese trumpetfish","actinopterygii","aulostomus chinensis","LC",1,2020
1,"pygmy pipefish","actinopterygii","micrognathus brevirostris","LC",1,2020
1,"myers' pipefish","actinopterygii","minyichthys myersi","LC",1,2020
1,"short dragonfish","actinopterygii","eurypegasus draconis","LC",1,2020
1,"dogtooth tuna","actinopterygii","gymnosarda unicolor","LC",1,2020
1,"skipjack tuna","actinopterygii","katsuwonus pelamis","LC",1,2020
1,"kawakawa","actinopterygii","euthynnus affinis","LC",1,2020
1,"pacific bluefin tuna","actinopterygii","thunnus orientalis","VU",0.6,2020
1,"yellowfin tuna","actinopterygii","thunnus albacares","NT",0.8,2020
1,"blue marlin","actinopterygii","makaira nigricans","VU",0.6,2020
1,"shortbill spearfish","actinopterygii","tetrapturus angustirostris","DD",NA,2020
1,"albacore tuna","actinopterygii","thunnus alalunga","NT",0.8,2020
1,"swordfish","actinopterygii","xiphias gladius","LC",1,2020
1,"striped marlin","actinopterygii","kajikia audax","NT",0.8,2020
1,"bigeye tuna","actinopterygii","thunnus obesus","VU",0.6,2020
1,"sailfish","actinopterygii","istiophorus platypterus","LC",1,2020
1,"black marlin","actinopterygii","istiompax indica","DD",NA,2020
1,"tripletail wrasse","actinopterygii","cheilinus trilobatus","LC",1,2020
1,"white-spotted wrasse","actinopterygii","anampses melanurus","LC",1,2020
1,"dusky wrasse","actinopterygii","halichoeres marginatus","LC",1,2020
1,"white-dotted maori wrasse","actinopterygii","cheilinus chlorourus","LC",1,2020
1,"yellow-banded possum wrasse","actinopterygii","wetmorella nigropinnata","LC",1,2020
1,"red-spot razor wrasse","actinopterygii","iniistius pentadactylus","LC",1,2020
1,"african clown wrasse","actinopterygii","coris gaimard","LC",1,2020
1,"olive-scribbled wrasse","actinopterygii","novaculichthys taeniourus","LC",1,2020
1,"exquisite wrasse","actinopterygii","cirrhilabrus exquisitus","DD",NA,2020
1,"six-line wrasse","actinopterygii","pseudocheilinus hexataenia","LC",1,2020
1,"bluntheaded wrasse","actinopterygii","thalassoma amblycephalum","LC",1,2020
1,"finescale razorfish","actinopterygii","cymolutes torquatus","LC",1,2020
1,"six-banded wrasse","actinopterygii","thalassoma hardwicke","LC",1,2020
1,"polynesian slender wrasse","actinopterygii","pseudojuloides atavai","DD",NA,2020
1,"rust-banded wrasse","actinopterygii","pseudocoris aurantiofasciata","LC",1,2020
